"Munic_Id";"MunicOp_Ano";"MunicOP_OP"
1100023;1992;0
1100023;1996;0
1100023;2000;0
1100023;2004;0
1100023;2008;0
1100023;2012;0
1100023;2016;0
1100049;1992;0
1100049;1996;0
1100049;2000;0
1100049;2004;1
1100049;2008;0
1100049;2012;0
1100049;2016;0
1100114;1992;0
1100114;1996;0
1100114;2000;0
1100114;2004;0
1100114;2008;0
1100114;2012;0
1100114;2016;0
1100122;1992;0
1100122;1996;0
1100122;2000;0
1100122;2004;1
1100122;2008;0
1100122;2012;0
1100122;2016;0
1100205;1992;0
1100205;1996;0
1100205;2000;0
1100205;2004;0
1100205;2008;1
1100205;2012;1
1100205;2016;0
1100288;1992;0
1100288;1996;0
1100288;2000;0
1100288;2004;0
1100288;2008;0
1100288;2012;0
1100288;2016;0
1100304;1992;0
1100304;1996;0
1100304;2000;0
1100304;2004;0
1100304;2008;0
1100304;2012;0
1100304;2016;0
1200203;1992;0
1200203;1996;0
1200203;2000;0
1200203;2004;0
1200203;2008;0
1200203;2012;0
1200203;2016;0
1200401;1992;0
1200401;1996;0
1200401;2000;0
1200401;2004;1
1200401;2008;1
1200401;2012;0
1200401;2016;0
1301209;1992;0
1301209;1996;0
1301209;2000;0
1301209;2004;0
1301209;2008;0
1301209;2012;0
1301209;2016;0
1301902;1992;0
1301902;1996;0
1301902;2000;0
1301902;2004;0
1301902;2008;0
1301902;2012;0
1301902;2016;0
1302504;1992;0
1302504;1996;0
1302504;2000;0
1302504;2004;0
1302504;2008;0
1302504;2012;0
1302504;2016;0
1302603;1992;0
1302603;1996;0
1302603;2000;0
1302603;2004;0
1302603;2008;1
1302603;2012;0
1302603;2016;0
1303403;1992;0
1303403;1996;0
1303403;2000;0
1303403;2004;0
1303403;2008;0
1303403;2012;0
1303403;2016;0
1304203;1992;0
1304203;1996;0
1304203;2000;0
1304203;2004;0
1304203;2008;0
1304203;2012;0
1304203;2016;0
1400100;1992;0
1400100;1996;0
1400100;2000;0
1400100;2004;1
1400100;2008;0
1400100;2012;0
1400100;2016;0
1500107;1992;0
1500107;1996;0
1500107;2000;0
1500107;2004;0
1500107;2008;0
1500107;2012;0
1500107;2016;0
1500206;1992;0
1500206;1996;0
1500206;2000;0
1500206;2004;0
1500206;2008;0
1500206;2012;0
1500206;2016;0
1500602;1992;0
1500602;1996;0
1500602;2000;0
1500602;2004;0
1500602;2008;0
1500602;2012;0
1500602;2016;0
1500800;1992;0
1500800;1996;0
1500800;2000;0
1500800;2004;1
1500800;2008;0
1500800;2012;0
1500800;2016;0
1501303;1992;0
1501303;1996;0
1501303;2000;0
1501303;2004;0
1501303;2008;0
1501303;2012;0
1501303;2016;0
1501402;1992;0
1501402;1996;1
1501402;2000;1
1501402;2004;0
1501402;2008;0
1501402;2012;0
1501402;2016;0
1501709;1992;0
1501709;1996;0
1501709;2000;0
1501709;2004;0
1501709;2008;0
1501709;2012;0
1501709;2016;0
1501808;1992;0
1501808;1996;0
1501808;2000;0
1501808;2004;0
1501808;2008;0
1501808;2012;0
1501808;2016;0
1502103;1992;0
1502103;1996;0
1502103;2000;0
1502103;2004;1
1502103;2008;0
1502103;2012;0
1502103;2016;0
1502202;1992;0
1502202;1996;0
1502202;2000;0
1502202;2004;0
1502202;2008;0
1502202;2012;0
1502202;2016;0
1502301;1992;0
1502301;1996;0
1502301;2000;0
1502301;2004;0
1502301;2008;0
1502301;2012;0
1502301;2016;0
1502400;1992;0
1502400;1996;0
1502400;2000;0
1502400;2004;0
1502400;2008;0
1502400;2012;0
1502400;2016;0
1503309;1992;0
1503309;1996;0
1503309;2000;0
1503309;2004;0
1503309;2008;0
1503309;2012;0
1503309;2016;0
1503606;1992;0
1503606;1996;0
1503606;2000;0
1503606;2004;0
1503606;2008;1
1503606;2012;0
1503606;2016;0
1503705;1992;0
1503705;1996;0
1503705;2000;0
1503705;2004;0
1503705;2008;0
1503705;2012;0
1503705;2016;0
1504208;1992;0
1504208;1996;0
1504208;2000;0
1504208;2004;0
1504208;2008;0
1504208;2012;0
1504208;2016;0
1504422;1992;0
1504422;1996;0
1504422;2000;0
1504422;2004;0
1504422;2008;0
1504422;2012;0
1504422;2016;0
1504703;1992;0
1504703;1996;0
1504703;2000;0
1504703;2004;0
1504703;2008;0
1504703;2012;0
1504703;2016;0
1504802;1992;0
1504802;1996;0
1504802;2000;0
1504802;2004;0
1504802;2008;0
1504802;2012;0
1504802;2016;0
1505304;1992;0
1505304;1996;0
1505304;2000;0
1505304;2004;0
1505304;2008;0
1505304;2012;0
1505304;2016;0
1505502;1992;0
1505502;1996;0
1505502;2000;0
1505502;2004;0
1505502;2008;0
1505502;2012;0
1505502;2016;0
1505536;1992;0
1505536;1996;0
1505536;2000;0
1505536;2004;0
1505536;2008;0
1505536;2012;0
1505536;2016;0
1506138;1992;0
1506138;1996;0
1506138;2000;0
1506138;2004;0
1506138;2008;0
1506138;2012;0
1506138;2016;0
1506807;1992;0
1506807;1996;0
1506807;2000;0
1506807;2004;0
1506807;2008;1
1506807;2012;1
1506807;2016;0
1507300;1992;0
1507300;1996;0
1507300;2000;0
1507300;2004;0
1507300;2008;0
1507300;2012;0
1507300;2016;0
1508001;1992;0
1508001;1996;0
1508001;2000;0
1508001;2004;0
1508001;2008;0
1508001;2012;0
1508001;2016;0
1508100;1992;0
1508100;1996;0
1508100;2000;0
1508100;2004;0
1508100;2008;0
1508100;2012;0
1508100;2016;0
1508159;1992;0
1508159;1996;0
1508159;2000;0
1508159;2004;0
1508159;2008;0
